Название предприятия,Ссылка на вебсайт компании,Описание компании
Alex Conti,https://alestech.ru/factory/681-alex-conti,"Компания Alex Conti с 2008 г. производит в Кировской области различную деревянную тару — паллеты, нестандартные поддоны, деревянные и фанерные ящики, в том числе ящики для овощей.У компании имеется арендованная на 49 лет лесосырьевая база с расчетной лесосекой 220 тыс. м3. На производстве установлено оборудование производства фирм Krafter, Delta, Errebi, Winner и других. В качестве сырья используется, в основном, хвойная древесина высшего и первого сортов, в отдельных случаях — древесина лиственных пород.Общая площадь предприятия — 10 га, площадь производственных и складских помещений — более 8 тыс. м2.На производственной площадке Alex Conti расположено 2 лесопильных цеха, где установлены 6 ленточнопильных и 6 многопильных станков, сушильный комплекс из 4 сушильных камер общим объемом 800 м3, 4 сборочных цеха, склад готовой продукции площадью более 3 тыс. м2.Компания обладает лицензией на проведение фитосанитарной обработки продукции по стандарту ISPM 15.Количество персонала — 200 человек.Цель компании — к 2025 году стать №1 в мире по выпуску самой технологичной деревянной тары."
BM group,https://alestech.ru/factory/342-bm-group,"Управляющая компания BM group основана в 1992 году. С 1998 года осуществляет деятельность по комплексному освоению лесов.На заводах, входящих в BM group, осуществляется полный цикл переработки древесины – лесозаготовку, лесопиление и производство биотоплива, строганых материалов и элементов деревянных домов.Основные производственные лесоперерабатывающие мощности BM group расположены в пос. Берёзовый Солнечного района Хабаровского края.Площадь арендованных лесных участков — 2,9 млн га.Общий запас древесины под управлением компании — 306,5 млн м3.Расчётная лесосека — более 1,865 млн м3древесины в год.Вся продукция имеет сертификаты PEFC.Объём лесозаготовки в 2015 г. — 605 тыс. м3.Целевые показатели BM group 2018 года:сухие обрезные пиломатериалы — 520 тыс. м3;пиломатериалы строганые профилированные — 100 тыс. м3;пеллеты — 184 тыс. тонн;элементы деревянного домостроения — 50 тыс. м3;технологическая щепа — 390 тыс. пл. м3.География продаж продукции BM group: Европа, Китай, Япония, Южная Корея. На российский рынок поставляются только погонажные изделия.Инвестпроекты BM groupООО «Азия лес»иАО «БМ Сахалин»с общим объемом инвестиций 14 млрд рублей были включены в перечень приоритетных инвестиционных проектов в области освоения лесов. По состоянию на конец 2019 года ООО «Азия лес» находилось в процедуре банкротства, инвестпроект «Азия лес» был лишен статуса приоритетного. Проект лесопильного завода«Амур Форест»с объемом инвестиций 856,8 млн рублей, также включенный в список приоритетных, реализация которого изначально была запланирована на 2009 год, признан реализованным только в 2015 г. В перечень приоритетных инвестпроектов в 2014 г. также был включен второй проект компании «Амур Форест» — «Создание деревообрабатывающего комплекса в пос. Берёзовый» с инвестициями в размере 1,4 млрд руб., но в 2016 г. он был исключен из перечня.В декабре 2022 г. на лесопильной линии в пос. Березовый проведена модернизация линии обрезки пиломатериалов. Проведена замена систем автоматики и установлен новый сканер российского производства для измерения ширины и толщины поступающих пиломатериалов.По итогам 2022 г. было заготовлено свыше 366,3 тыс. м3круглых лесоматериалов, рост к АППГ - 4,16%. На завод в пос. Березовый объема было изготовлено почти 155 тыс. м3пиломатериалов, рост 1,68%. Также юыло изготовлено 45,3 тыс. тонн пеллет.В марте 2023 г. на предприятии запущена в работу платформа для погрузки пиломатериалов в контейнеровозы собственного изготовления.По итогам февраля 2023 г. на предприятии изготовлено 12,3 тыс. м3пиломатериалов и 2,2 тыс. т пеллет, что эквивалентно показателям 2022 г. Пеллеты поставляются на рынок Кореи.С начала 2023 г. завод изготовил 35,5 тыс. м3пиломатериалов, что на 12% меньше, чем за первый квартал 2022 г. Объем производства пеллет сохранился на уровне 2022 г. и составил 7,4 тыс. т.В мае 2023 г. на предприятии завершилась модернизация линии сортировки сырых пиломатериалов немецкого производства. На линии  установлено российское программное обеспечение, а работа оборудования происходит под управлением нового сканера пиломатериалов."
BorWood,https://alestech.ru/factory/784-borwood,"BorWood — белорусский холдинг, объединяющих лесо­перерабатывающие предприятия.Согласно данным сайтаОАО «Белорусская лесная компания»в составе холдинга BorWood находятся 9 предприятий:ОАО «Витебскдрев»;ОАО «Борисовдрев»;ОАО «Могилевдрев»;ОАО «Мостодрев»;ОАО «Новосверженский лесозавод»;ОАО «ФанДОК»;ОАО «Гомельдрев»;ОАО «Речицадрев»;ОАО «Мозырский ДОК».Согласно данным сайта BorWood в составе холдинга находятся лесо­заготовительное предприятие ООО «БР-Форест» и дерево­обрабатывающее предприятиеООО «БР-Вуд».Единым центром продаж продукции холдинга организаций дерево­обрабатывающей промышленности BorWood является ОАО «Белорусская лесная компания»."
Forest Family,https://alestech.ru/factory/308-forest-family,"Компания Forest Family является предприятием полного цикла, от лесозаготовки до глубокой переработки древесины.Заготовка древесины осуществляется на технике Ponsse. Компания организовала лесопильное производство в 2001 году. Сушка пиломатериалов осуществляется в сушильных камерах с итальянским оборудованием, строжка — на строгально-калевочном четырех­стороннем станке Leadermac Speedmac 723.Предприятие производит евровагонку, имитацию бруса, доску пола и доску обрезную, реализует хвойный и лиственный баланс, фанерный кряж, горбыль, дрова в кряжах. Отходы лесопиления — опилки и стружка — реализуются смежным предприятиям для производства пеллет и ламината. Продукция компании реализуется на российском рынке и поставляется на экспорт."
HolzBalken,https://alestech.ru/factory/168-holzbalken,"Компания HolzBalken производит клееный и профилированный брус, террасную доску и строит фахверковые дома, а также дома из бруса: клееного профилированного, камерной сушки и естественной влажности.Клееный брус производится из древесины северных районов Кировской области и Республики Коми.Основное оборудование HolzBalken — итальянских и немецких производителей.Выручка ООО «НВ» в 2020 г. составила 123,79 млн рублей (в 2019‑м — 96,14 млн руб.), чистая прибыль — 4,25 млн рублей (в 2019‑м — 3,24 млн руб.).По данным портала Чекко, выручка компании ООО «НВ» в 2021 г. составила 150,2 млн руб.Чистая прибыль – 10,6 млн руб. Среднесписочная численность сотрудников – 48 человек."
Holz House,https://alestech.ru/factory/160-holz-house,"Компания Holz House изготавливает пиломатериалы, клееный конструкционный брус и строит дома из клееного бруса. Основана в 1998 году. На 2019 год в состав предприятия входят три завода на севере Кировской области: в Даровском, Котельничском и Лузском районах.Продукция поставляется в различные регионы России и на экспорт.В компании Holz House работают 600 человек.В 2015 г. инвестпроект ООО «Хольц Хаус» по организации производства клееного бруса на территории г. Луза был включен в перечень приоритетных в области освоения лесов.Запланированный объем производства по проекту в год:брус клееный — 17 тыс. м3;пиломатериалы обрезные — 73 тыс. м3;топливная щепа — 60 тыс. м3.В 2016 г. компанией ПО «Теплоресурс» на предприятии был установлен котел серии КТУ-2000, модель КМТ с подвижной колосниковой решеткой и организован топливный склад на 200 м³.В 2017 г. компания ПО «Теплоресурс» установила на предприятии котел серии КТУ-2000, модель КМТ с подвижной колосниковой решеткой и котел серии КТУ-3000, модель КМТ и организовала топливный складВ июле 2021 г. компания «Хольц Хаус» запустила в Лузе новое производство клееных балок, пеллет и технологической щепы. Средства на реализацию этого проекта предоставил Фонд развития промышленности (Группа ВЭБ.РФ). Мощность нового производства — 15 тыс. м3клееных балок из древесины хвойных пород в год. Общая мощность предприятия по выпуску клееных балок выросла до 40 тыс. м3в год. Для сушки пиломатериалов на площадке установлено 16 сушильных камер, емкостью 130 м3пиломатериалов каждая.В 2022 г. компания ПО «Теплоресурс» установила на предприятии котел КМТ-3000 и организовала топливный склад.Также в рамках проекта налажено производство пеллет мощностью 9,6 тыс. т и технологической щепы мощностью 4,2 тыс. т в год.Для создания нового производства компания «Хольц Хаус» в середине 2020 года получила заем на сумму 81,3 млн рублей, из которых 56,9 млн рублей предоставил федеральный ФРП, а 24,4 млн рублей — региональный ФРП Кировской области. Общий бюджет проекта превысил 200 млн рублей. В результате реализации проекта было создано 71 новое рабочее место.Ранее Фонд развития моногородов (Группа ВЭБ.РФ) профинансировал строительство инженерной и транспортной инфраструктуры к предприятию, а также выдал заем в размере 174 млн рублей на закупку лесо­заготовительной техники и автотранспорта.29 марта 2024 г. на предприятии произошел пожар на площади 1000 м2. Сгорел участок обработки бруса. Огонь тушили 12 единиц техники и более 50 человек. Пострадавших нет. Основные производственные площади не пострадали. Предприятие продолжит работу и восстановит объемы производства через несколько месяцев."
Ligar Wood,https://alestech.ru/factory/723-ligar-wood,"Компания Ligar Wood осуществляет лесозаготовку, занимается распиловкой древесины и производит в Братске строганые пиломатериалы, мебельный щит и клееный брус, а также выпускает топливные гранулы.Предприятие основано в 2019 г.Ligar Wood выпускает вагонку, доску калиброванную, доску пола, имитацию бруса, палубные доски, планкен, террасные доски и мебельный щит сортов «Экстра», А, В, С и D. Общий объем производства — 24 тыс. м3продукции в год. В качестве сырья предприятие использует древесину хвойных пород.Предприятие оборудовано станками производства США, Словении, Италии, Тайваня, Китая.В цехе производствапогонажной продукции работает 50 человек. Объем продукции в месяц — 1,8–3 тыс. м3.В цехе по производству мебельных щитов работает 60 человек. Объем продукции — 300–500 м3цельноламельного и сращеного щита из лиственницы, сосны, ели и пихты в месяц. Мебельные щиты изготавливаются в восьми стандартных размерах, возможно изготовление под заказ мебельных щитов нестандартных размеров длиной до 6 м.Согласно данным системы ЛесЕГАИС связанная с ООО «Лигар Вуд» компания ООО «Фирма Адис» имеет по договору от 2008 г. расчетную лесосеку объемом 139 тыс. м3древесины в год (в Чунском лесничестве)."
New Forest Pro,https://alestech.ru/factory/223-new-forest-pro,"New Forest Pro — это крупнейший лесоперерабатывающий комплекс на Дальнем Востоке России. Расположен на берегу Татарского пролива рядом с морским и торговым портом Ванино.АО «Нью Форест Про» было образовано в конце 2018 г.Производственные мощности деревоперерабатывающего комплекса включают в себя четыре участка:лесопильный цех мощностью 1,2 млн м3по сырью в год;строгальный цех мощностью 180 тыс. м3пиломатериалов в год;пеллетный цех мощностью 240 тыс. т древесных гранул в год (на 2023 г. по объему производства пеллет занимает второе место) в России;производство клееного бруса мощностью до 105 тыс. м3в год. Оборудование позволяет производить брус длиной до 12 м, а также криволинейные конструкционные многослойные балки длиной до 36 м.Общая площадь комплекса — 120 га. Расчетная лесосека компании — 716 тыс. м3древесины в год.В мае 2023 г. компания объявила о намерении начать продажу строганой продукции из лиственницы в Москве и МО, для чего осуществляет поиск арендных площадей для размещения продукции.В августе 2023 г. предприятие приступило к строительству лесопитомника мощностью 3 млн сеянцев в год. Запуск двух первых теплиц планируется весной 2024 г. В 2025 г. компания планирует выйти на полную мощность выращивания."
Nord House,https://alestech.ru/factory/933-nord-house,"Компания Nord House производит профилированный и клееный брус в Кировской области, домокомплекты, а также осуществляет проектирование и строительство деревянных домов и бань.В качестве сырья используется древесина ели и сосны собственной заготовки. Заготовка древесины осуществляется в Даровском, Шабалинском и Свечинского районах Кировской области, а также в Республике Коми и Костромской области. Ежегодный объем лесозаготовки — 30 тыс. м3древесины. Объем производства бруса — до 1000 м3в месяц.Для изготовления клееного бруса на предприятии используются клеи финской фирмы Kiilto.За годы работы компания Nord House построила более 900 домов в 8 регионах России.Выручка ООО «Норд Хаус Профиль» в 2020 г. составила 99,5 млн рублей (в 2019 г. — 60,8 млн рублей), чистая прибыль — 7,3 млн рублей (в 2019 г. убыток составил 6,7 млн рублей)."
RFP Group,https://alestech.ru/factory/328-rfp,"RFP Group - крупнейший лесопромышленный холдинг Дальнего Востока. Холдинг объединяет группу технологически связанных компаний полного цикла: заготовка древесины, переработка, продажа и доставка продукции потребителям.В 2019 г. выручка АО «Дальлеспром» составила 6,3 млрд рублей. АО «Дальлеспром» внесено в Перечень системо­образующих предприятий Минпромторга России (критерии для лесо­промышленного комплекса: выручка — не менее 5 млрд руб., численность работников — не менее 500). Компания является лидером по экспорту лесоматериалов в Китай. По данным RFP, на ее долю приходится более 20% от совокупного объема поставок РФ в данном направлении.Бизнес-единица «Лесозаготовка»нацелена на рациональное, экономически эффективное освоение лесного фонда холдинга и обеспечение сырьём Дальневосточного центра глубокой переработки древесины, в который входят АО «Дальлеспром», АО «Флора», ПАО «Комсомольский ЛПХ». Направление объединяет ведущие лесозаготовительные и деревообрабатывающие предприятия Дальневосточного региона. Крупнейшие из них — АО «Дальлеспром» и АО «РФП Лесозаготовка».В управлении предприятий холдинга находится более 20% всех переданных в аренду лесных массивов Дальнего Востока — 4 млн га с эксплуатационным запасом 375 млн м3древесины и разрешенной ежегодной вырубкой 4,5 млн м3. По этим показателям – компания занимает 5 место в России. Преобладающие породы древесины — лиственница и ель (90%), а также присутствуют береза и тополь (10%). Компания является лидером по объемам реальной заготовки на Дальнем Востоке – ежегодный объем заготовки круглых лесоматериалов достигает 2 млн м3. Древесина заготавливается сортиментным методом с использованием современной техники.К приоритетным задачам направления относятся повышение эффективности лесозаготовок, развитие дорожной и лесозаготовительной инфраструктуры, вовлечение в экономический оборот новых лесных участков. RFP поддерживает международные и национальные инициативы в области совершенствования практики природопользования и внедрения процедур добровольной лесной сертификации PEFC.Бизнес-единица «Лесопереработка»обеспечивало строительство и запуск стратегического проекта холдинга — «Дальне­восточного центра глубокой переработки древесины», который с 2015 г. является резидентом ТОР «Комсомольская».В период с 2009 по 2013 гг. в г. Амурске было организовано производство лущеного шпона мощностью 240 тыс. м3в год. На втором этапе, с 2013 по 2017 гг., в Амурске построен и запущен завод по производству пиломатериалов мощностью 240 тыс. м3в год.Компания планирует привлечение партнеров для совместного создания производств по выпуску конструкционной фанеры, LVL, элементов деревянного домостроения и домокомплектов для каркасно-щитовых малоэтажных домов заводского изготовления.В августе 2021 г. RFP Group завершила строительство завода по производству пеллет в г. Амурске Хабаровского края, который является третьим этапом проекта «Дальневосточный центр глубокой переработки древесины» и по плану должен был быть запущен в 2020 г. Объем инвестиций в пеллетное производство превысил 2,5 млрд рублей. Средства на создание нового производства предоставили Инвестиционный фонд Mirainovate (Япония) и Фонд развития промышленности (Группа ВЭБ.РФ), который выдал льготный заём в размере 500 млн рублей. На пеллетном заводе установлены прессы CPM Europe. Плановая мощность — 100 тыс. т пеллет в год. На производстве создано 76 рабочих мест. Вторая фаза проекта предусматривает расширение мощности до 135 тыс. т.В сентябре 2021 г. на Восточном экономическом форуме RFP Group и Агентство по привлечению инвестиций и поддержке экспорта Республики Саха (Якутия) подписали соглашение о сотрудничестве. Стороны планируют осуществлять взаимодействие при реализации инвестиционного проекта в Республике Саха (Якутия) по созданию центра глубокой переработки древесины мощностью не менее 500 тыс. м3по входящему сырью и закреплению лесосырьевой базы на территории Якутии общей площадью 1,5 млн га. Проект предполагает организацию производства пеллет.Также в сентябре 2021 г. руководство RFP Group заявило, что холдинг планирует создание новых производств по переработке низкосортной древесины в Хабаровском крае. В планах компании строительство лесопильного завода, ориентированного на переработку тонкомерных бревен, и запуск пеллетного завода мощностью до 300 тыс. т в год для переработки балансовой и дровяной древесины. В качестве площадки под размещение производств рассматриваются территории к северо-западу от г. Амурска по железно­дорожной ветке. Строительство новых производств потребует инвестиций свыше $100 млн.В октябре 2021 г. ходатайство в ФАС о покупке доли (75%) в RFP Group подал холдинг Iida Group (Япония). Iida Group Holdings — лидер деревянного домостроения в Японии, занимает более 50% рынка, строит около 50 тыс. деревянных домов в год. 29 ноября 2021 г. правительственная комиссия по контролю за осуществлением иностранных инвестиций, которую возглавляет премьер-министр РФ Михаил Мишустин, одобрила сделку с условиями: Iida должна будет до конца 2026 г. инвестировать $150 млн в строительство новых мощностей по лесо­переработке, расширение и модернизация завода RFP на севере Хабаровского края, увеличение производства продукции глубокой переработки, объем переработки древесины RFP должен вырасти к 2026 г. в 2,3 раза (с ожидаемых по итогам 2021 г. 752 тыс. до 1,7 млн м3), сохранение общей средне­списочной численности работников на уровне не менее 2612 человек.В 2023 г. компанией НПФ «Техпромсервис» на площадке предприятия ООО «Амурская лесопромышленная компания» была выполнена поставка оборудования и системы механизации участка разборки пакетов пиломатериалов, включающая систему транспортеров, пакетоформирующую машину, электромеханический разборщик пакетов и торцовочное устройство проходного типа.Бизнес-единица «Торговый дом RFP»ООО «Торговый дом РФП» создан в 2006 г. Компания осуществляет централизованную реализацию лесоматериалов, производимых лесозаготовительными и деревообрабатывающими предприятиями холдинга и оказывает транспортно-экспедиторские услуги в области перевозок железнодорожным, речным и морским видами транспорта, мультимодальных и международных поставок грузов контейнерами, таможенного оформления, складского хранения и обработки грузов, связанных с перемещением по территории Российской Федерации и стран АТР, а также внутренней логистики промышленных предприятий.Кадровая политикаRFP — один из крупнейших и наиболее стабильных работодателей на Дальнем Востоке России. На предприятиях компании работают около 3000 человек. Большое внимание уделяется не только поиску лучших специалистов, но и развитию сотрудников, а также их социальной поддержке. Работники RFP имеют возможность получать дополнительное образование в лучших российских вузах, проходить специализированные тренинги и семинары, а также участвовать в программах стажировок.Сотрудникам предоставляется полис Добровольного медицинского страхования. Организуются занятия спортом и корпоративные социальные мероприятия.  Организуется питание и проживание для работников лесозаготовительных предприятий, доставка транспортом и компенсация занятий спортом.В компании реализуется проект «Стажировки» для студентов и сотрудников без опыта. Для студента стажировка – возможность проявить себя, получить опыт и влиться в профессиональный коллектив. Студенты и недавние выпускники работают наравне с опытными сотрудниками, за стажерами закрепляют наставников. В конце стажировки стажеров ждет награда – лучшим дают рекомендации, вносят их в кадровый резерв или сразу же предлагают подписать трудовой договор. В компании широко практикуется система наставничества. В процессе обучения высококвалифицированный специалист, который и является наставником, предоставляет стажерам необходимую для работы информацию. Также в его обязанности входит отслеживание процесса усваивания этих знаний, формирования нужных навыков и в целом желания работать. По завершении обучения специалист сдает аттестацию и может быть допущен к выполнению трудовых функций. Отличительными чертами наставничества является то, что весь процесс проходит непосредственно на рабочем месте, затрагивает реально возникающие ситуации и иллюстрирует весь трудовой процесс. То есть такое обучение содержит минимум теории, акцентируя внимание ученика на практической стороне деятельности.По итогам 2022 г. объем заготовки круглых лесоматериалов составил 1,161 млн м3."
